account_title,account_number,normal_balance,description,is_active,expense_class,default_nature,default_apply_reserve
Salaries and Wages - Regular,5-01-01-010,Debit,This account is used to record the pay proper for services rendered of government employees occupying regular plantilla positions. Subsidiary Ledger: 01 - civilian employees 02 - uniformed personnel,TRUE,PS,Non-Procurement,FALSE
Salaries and Wages - Casual/Contractual,5-01-01-020,,,TRUE,PS,Procurement,FALSE
Personnel Economic Relief Allowance (PERA),5-01-02-010,Debit,"This account is used to record the allowance granted to government personnel occupying regular, contractual or casual positions; appointive or elective; rendering services on full-time or part-time basis; and whose positions are covered by Republic Act No. 6758, as amended.",TRUE,PS,,FALSE
Representation Allowance (RA),5-01-02-020,Debit,"This account is used to record the monthly commutable representation allowance granted to authorized officials and employees in the actual performance of their respective functions, such as hosting official meetings.",TRUE,PS,,FALSE
Transportation Allowance (TA),5-01-02-030,Debit,This account is used to record the monthly commutable transportation allowance granted to authorized officials and employees in the actual performance of their respective functions.,TRUE,PS,,FALSE
Clothing/Uniform Allowance,5-01-02-040,Debit,This account is used to record the fixed amount granted to authorized government officials/employees for the upkeep/replacement of clothing/uniform paid in cash or in kind.,TRUE,PS,,FALSE
Subsistence Allowance,5-01-02-050,Debit,"This account is used to record the amount granted to authorized government officials/employees to cover cost of meals, and incidental expenses incurred by employees who are on official business.",TRUE,PS,,FALSE
Laundry Allowance,5-01-02-060,,,TRUE,PS,,FALSE
Quarters Allowance,5-01-02-070,Debit,This account is used to record the amount granted to authorized government officials/employees to cover cost of suitable and adequate living quarters incurred by employees who are on official business.,TRUE,PS,,FALSE
Productivity Incentive Allowance,5-01-02-080,Debit,This account is used to record the fixed amount granted to authorized government officials/employees for at least satisfactory performance in the discharge of their official duties.,TRUE,PS,,FALSE
Overseas Allowance,5-01-02-090,Debit,This account is used to record the allowances granted to authorized government officials/employees on foreign assignment/mission.,TRUE,PS,,FALSE
